id;project_name;file_path;route;line_number;code_snippet;source_variable;sink_type;notification_message;is_sanitized;source_of_data;is_dom;label;tool;pattern_id;severity;is_confirmed;taint_flow;sanitization_method;analysis_type;confidence_score;created_at;is_laravel_request;group_name;language_type
8271;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingMoney.vue;;20;"18:         </div> | 19:  | >>>         <div class=""text-red text-sm mt-1 block"" v-if=""error"" v-html=""error""></d... | 21:     </div> | 22: ";error;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8272;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingMoney.vue;;42;"40:         <money v-else :name=""name"" @input=""input"" :placeholder=""placeholder"" v-b... | 41:  | >>>         <div class=""text-red text-sm mt-1 block"" v-if=""error"" v-html=""error""></d... | 43:     </div> | 44: </template>";error;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8273;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingRecurring.vue;;23;"21:             <div class=""flex flex-col""> | 22:                 <input type=""text"" class=""w-20 text-sm px-3 py-2.5 mt-1 rounded-... | >>>                 <div class=""text-red text-sm mt-1 block w-36"" v-if=""invertalErro... | 24:             </div> | 25: ";invertalError;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8274;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingRecurring.vue;;35;"33:             </el-select> | 34:  | >>>             <div class=""text-red text-sm mt-1 block w-36"" v-if=""customFrequencyE... | 36:         </div> | 37: ";customFrequencyError;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8275;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingRecurring.vue;;85;"83:                     </el-date-picker> | 84:  | >>>                 <div class=""text-red text-sm mt-1 block w-36"" v-if=""startedError... | 86:  | 87:             </div>";startedError;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8276;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingRecurring.vue;;104;"102:             <div class=""flex flex-col""> | 103:                 <input type=""text"" class=""w-20 cursor-pointer text-sm px-3 py-2.... | >>>                 <div class=""text-red text-sm mt-1 ml-2 block w-36"" v-show=""limit... | 105:             </div> | 106: ";limitCountError;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8277;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingRecurring.vue;;124;"122:                 </el-date-picker> | 123:  | >>>                 <div class=""text-red text-sm mt-1 ml-2 block w-36"" v-if=""limitDa... | 125:             </div> | 126:         </div>";limitDateError;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8278;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\CreditCard\CardForm.vue;;82;"80:                         /> | 81:  | >>>                         <div class=""text-red text-sm mt-1 block"" v-if=""validatio... | 83:                     </div> | 84: ";validations.card_name;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8279;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\CreditCard\CardForm.vue;;104;"102:                         /> | 103:  | >>>                         <div class=""text-red text-sm mt-1 block"" v-if=""validatio... | 105:                     </div> | 106: ";validations.card_number;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8280;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\CreditCard\CardForm.vue;;164;"162:                         /> | 163:  | >>>                         <div class=""text-red text-sm mt-1 block"" v-if=""validatio... | 165:                     </div> | 166: ";validations.card_cvv;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8281;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\CreditCard\CardForm.vue;;219;"217:                     /> | 218:  | >>>                     <div class=""text-red text-sm mt-1 block"" v-if=""validations.c... | 220:                 </div> | 221: ";validations.card_name;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8282;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\CreditCard\CardForm.vue;;241;"239:                     /> | 240:  | >>>                     <div class=""text-red text-sm mt-1 block"" v-if=""validations.c... | 242:                 </div> | 243: ";validations.card_number;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8283;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\CreditCard\CardForm.vue;;303;"301:                     /> | 302:  | >>>                     <div class=""text-red text-sm mt-1 block"" v-if=""validations.c... | 304:                 </div> | 305: ";validations.card_cvv;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8284;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\Inputs\BaseInput.vue;;47;"45:       <slot name=""infoBlock""></slot> | 46:       <slot name=""error""> | >>>         <div v-if=""error"" class=""text-red text-sm mt-1 block"" | 48:             v-html=""error""> | 49:         </div>";error;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8285;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\Inputs\BaseInput.vue;;58;"56:     </div> | 57:     <slot name=""error""> | >>>       <div v-if=""footerError"" class=""text-red text-sm mt-1 block"" | 59:           v-html=""footerError""> | 60:       </div>";footerError;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8286;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\NotificationPlugin\Notification.vue;;45;"43:                 </span> | 44:  | >>>                 <span v-if=""message"" v-html=""message""></span> | 46:  | 47:                 <content-render v-if=""!message && component"" :component=""compone...";message;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8287;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\common\documents.js;;648;"646:             }.bind(this), 100); | 647:  | >>>             setTimeout(function() { | 649:                 this.onCalculateTotal(); | 650:             }.bind(this), 800); (استخدام آمن: setTimeout مع دالة)";;setTimeout;✓ setTimeout() is used safely with a function argument.;1;;0;0;semgrep;unsafe-settimeout-without-sanitization;medium;0;;sanitize;static;0.4;29/12/25 17:18;0;unknown;js
8288;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\install\Database.vue;;6;"4:  | 5:         <div class=""card-body""> | >>>             <div  | 7:                 class=""w-full bg-red-100 text-red-600 p-3 rounded-sm font-semibo... | 8:                 :class=""(form.response.error) ? 'block' : 'hidden'""";;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8289;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\install\Database.vue;;38;"36:                         </div> | 37:  | >>>                         <div class=""text-red text-sm mt-1 block"" v-if=""form.erro... | 39:                     </div> | 40: ";hostname;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8290;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\install\Database.vue;;62;"60:                         </div> | 61:  | >>>                         <div class=""text-red text-sm mt-1 block"" v-if=""form.erro... | 63:                     </div> | 64: ";username;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8291;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\install\Database.vue;;107;"105:                         </div> | 106:  | >>>                         <div class=""text-red text-sm mt-1 block"" v-if=""form.erro... | 108:                     </div> | 109: ";password;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8292;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\install\Database.vue;;131;"129:                         </div> | 130:  | >>>                         <div class=""text-red text-sm mt-1 block"" v-if=""form.erro... | 132:                     </div> | 133:                 </div>";database;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8293;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\install\update.js;;138;"136:  | 137:                     if (!response.data.error && !response.data.redirect) { | >>>                         setTimeout(function() { | 139:                             this.next(); | 140:                         }.bind(this), 800); (استخدام آمن: setTimeout مع دالة)";;setTimeout;✓ setTimeout() is used safely with a function argument.;1;;0;0;semgrep;unsafe-settimeout-without-sanitization;medium;0;;sanitize;static;0.4;29/12/25 17:18;0;unknown;js
8294;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\modules\apps.js;;155;"153:             more_promise.then(response => { | 154:                 if (response.data.success) { | >>>                     document.querySelector(""[data-apps-content]"").innerHTML += r... | 156:                 } | 157: ";;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8295;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\modules\apps.js;;269;"267:  | 268:                     if (!response.data.error && !response.data.redirect) { | >>>                         setTimeout(function() { | 270:                             this.next(); | 271:                         }.bind(this), 800); (استخدام آمن: setTimeout مع دالة)";;setTimeout;✓ setTimeout() is used safely with a function argument.;1;;0;0;semgrep;unsafe-settimeout-without-sanitization;medium;0;;sanitize;static;0.4;29/12/25 17:18;0;unknown;js
8296;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\modules\apps.js;;294;"292:                     this.page[type]++; | 293:  | >>>                     document.querySelector('.js-'+ type + '-content').innerHTML ... | 295:  | 296:                     this.loadMoreLoading = false;";;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8297;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\wizard\Company.vue;;101;"99:                                     </akaunting-dropzone-file-upload> | 100:  | >>>                                     <div v-if=""onFailErrorGet('logo')"" class=""te... | 102:                                 </div> | 103:                             </div>";logo;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8298;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\views\wizard\Finish.vue;;32;"30:                                     </h4> | 31:  | >>>                                     <div class=""text-black-300 text-sm mt-1 line... | 33:                                 </div> | 34:                             </a>";item.description;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8299;bagisto;C:\dataset\github_real_projects\bagisto\packages\Webkul\Admin\src\Resources\assets\js\chart.js;;13;"11:  * Released under the MIT License | 12:  */ | >>> !function(t,e){""object""==typeof exports&&""undefined""!=typeof module?module.expor... | 14: /*! | 15:  * @kurkle/color v0.3.2 (استخدام آمن: setTimeout مع دالة)";t;setTimeout;Warning: Incorrect sanitization detected. Use a proper sanitizer for this sink - may introduce a security vulnerability.;0;;1;0;semgrep;unsafe-settimeout-without-sanitization;medium;1;;sanitize;static;0.7;29/12/25 17:18;0;unknown;js
8300;bagisto;C:\dataset\github_real_projects\bagisto\packages\Webkul\Shop\src\Resources\assets\js\plugins\shop.js;;24;"22:                 let dynamicScript = document.createElement('script'); | 23:  | >>>                 dynamicScript.setAttribute('src', src); | 25:  | 26:                 document.body.appendChild(dynamicScript);";src;setAttribute(src);🚨 Using setAttribute(src) without sanitization is very dangerous;0;;1;0;semgrep;unsafe-setattribute-src-without-sanitization;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8301;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\code\index.mjs;;64;"62: function highlightElem(elem) { | 63:     const innerCodeElem = elem.querySelector('code[class^=language-]'); | >>>     elem.innerHTML = elem.innerHTML.replace(/<br\s*\/?>/gi, '\n'); | 65:     const content = elem.textContent.trimEnd(); | 66: ";br;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;mjs
8302;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\ajax-form.js;;66;"64:             const resp = await window.$http[this.method.toLowerCase()](this.url,... | 65:             this.$emit('success', {formData}); | >>>             this.responseContainer.innerHTML = resp.data; | 67:             if (this.successMessage) { | 68:                 window.$events.emit('success', this.successMessage);";resp.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8303;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\ajax-form.js;;71;"69:             } | 70:         } catch (err) { | >>>             this.responseContainer.innerHTML = err.data; | 72:         } | 73: ";err.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8304;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\attachments.js;;64;"62:         this.stopEdit(); | 63:         window.$http.get(`/attachments/get/page/${this.pageId}`).then(resp => { | >>>             this.listPanel.innerHTML = resp.data; | 65:             window.$components.init(this.listPanel); | 66:         });";resp.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8305;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\attachments.js;;80;"78:         showLoading(this.editContainer); | 79:         const resp = await window.$http.get(`/attachments/edit/${id}`); | >>>         this.editContainer.innerHTML = resp.data; | 81:         window.$components.init(this.editContainer); | 82:     }";resp.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8306;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\auto-suggest.js;;116;"114:         // This used to use <button>s but was changed to div elements since Safa... | 115:         // on which causes a range of other complexities related to focus handli... | >>>         this.list.innerHTML = suggestions.map(value => `<li><div tabindex=""0"" cl... | 117:         this.list.style.display = 'block'; | 118:         for (const button of this.list.querySelectorAll('.text-item')) {";value;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8307;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\code-editor.js;;203;"201:         const historyKeys = Object.keys(this.history).reverse(); | 202:         this.historyDropDown.classList.toggle('hidden', historyKeys.length === 0... | >>>         this.historyList.innerHTML = historyKeys.map(key => { | 204:             const localTime = (new Date(parseInt(key, 10))).toLocaleTimeString()... | 205:             return `<li><button type=""button"" data-time=""${key}"" class=""text-ite...";key;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8308;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\dropdown-search.js;;57;"73:  | 74:         const joiner = this.url.includes('?') ? '&' : '?'; | >>>         return `${this.url}${joiner}search=${encodeURIComponent(searchTerm)}`; | 76:     } | 77:  (تعقيم: encodeURIComponent)";resp.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8309;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\dropzone.js;;147;"145:                 status.textContent = message; | 146:                 removeLoading(dom); | >>>                 setTimeout(dismiss, 2400); | 148:                 component.$emit('upload-success', { | 149:                     name: file.name, (استخدام آمن: setTimeout مع دالة)";message;setTimeout;✓ setTimeout() is used safely with a function argument.;1;;1;0;semgrep;unsafe-settimeout-without-sanitization;medium;0;;sanitize;static;0.4;29/12/25 17:18;0;unknown;js
8310;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\entity-search.js;;44;"42:         const url = window.baseUrl(`/search/${this.entityType}/${this.entityId}`... | 43:         window.$http.get(url, {term}).then(resp => { | >>>             this.searchResults.innerHTML = resp.data; | 45:         }).catch(console.error).then(() => { | 46:             this.loadingBlock.classList.add('hidden');";resp.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8311;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\entity-selector.js;;135;"139:  | 140:     searchUrl() { | >>>         const query = `types=${encodeURIComponent(this.searchOptions.entityTypes... | 142:         return `${this.searchOptions.searchEndpoint}?${query}`; | 143:     } (تعقيم: encodeURIComponent)";resp.data;innerHTML;Warning: Incorrect sanitization detected. Use a proper sanitizer for this sink - may introduce a security vulnerability.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;encodeURIComponent;static;1;29/12/25 17:18;0;unknown;js
8312;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\entity-selector.js;;153;"149:  | 150:         this.input.value = ''; | >>>         const url = `${this.searchUrl()}&term=${encodeURIComponent(searchTerm)}`... | 152:         window.$http.get(url).then(resp => { | 153:             this.resultsContainer.innerHTML = resp.data; (تعقيم: encodeURIComponent)";resp.data;innerHTML;Warning: Incorrect sanitization detected. Use a proper sanitizer for this sink - may introduce a security vulnerability.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;encodeURIComponent;static;1;29/12/25 17:18;0;unknown;js
8313;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\image-manager.js;;181;"179:     addReturnedHtmlElementsToList(html) { | 180:         const el = document.createElement('div'); | >>>         el.innerHTML = html; | 182:  | 183:         const loadMore = el.querySelector('.load-more');";html;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8314;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\image-manager.js;;186;"184:         if (loadMore) { | 185:             loadMore.remove(); | >>>             this.loadMore.innerHTML = loadMore.innerHTML; | 187:         } | 188:         this.loadMore.toggleAttribute('hidden', !loadMore);";loadMore.innerHTML;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8315;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\image-manager.js;;268;"266:         const params = requestDelete ? {delete: true} : {}; | 267:         const {data: formHtml} = await window.$http.get(`/images/edit/${imageId}... | >>>         this.formContainer.innerHTML = formHtml; | 269:         this.formContainerPlaceholder.setAttribute('hidden', ''); | 270:         window.$components.init(this.formContainer);";formHtml;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8316;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\notification.js;;36;"34:             const words = textToShow.split(' ').length; | 35:             const timeToShow = Math.max(2000, 1000 + (250 * words)); | >>>             setTimeout(this.hide.bind(this), timeToShow); | 37:         } | 38:     } (استخدام: setTimeout)";;setTimeout;Warning: Incorrect sanitization detected. Use a proper sanitizer for this sink - may introduce a security vulnerability.;0;;0;0;semgrep;unsafe-settimeout-without-sanitization;medium;1;;sanitize;static;0.7;29/12/25 17:18;0;unknown;js
8317;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\page-editor.js;;55;"53:             }, 1000); | 54:         } | >>>         this.draftDisplay.innerHTML = this.draftText; | 56:  | 57:         this.setupListeners();";this.draftText;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8318;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\template-manager.js;;77;"75:         const paginationUrl = paginationLink.getAttribute('href'); | 76:         const resp = await window.$http.get(paginationUrl); | >>>         this.list.innerHTML = resp.data; | 78:     } | 79: ";resp.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8319;BookStack;C:\dataset\github_real_projects\BookStack\resources\js\components\template-manager.js;;86;"84:         }); | 85:         this.searchCancel.style.display = searchTerm ? 'block' : 'none'; | >>>         this.list.innerHTML = resp.data; | 87:     } | 88: ";resp.data;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
